id,slug,name,description,logo,is_time_limit_based,is_life_based
d7d8399a-8a98-44f3-a665-ed03a6b9a5d0,quiz,"Quiz","Create a multiple choice Game",string,false,false
8fcc856e-4366-4275-802f-2cda5e010183,anagram,"Anagram","Lorem",string,false,false
0eabc2f1-0119-48f4-84e8-2e9a2375757c,spin-the-wheel,"Spin the Wheel","Lorem",string,false,false
1c6f82ad-3f6f-4a98-8fb9-e52fcb1cce84,open-the-box,"Open the Box","Lorem",string,true,false
80075968-6986-4980-a735-d76a287cf78d,unjumble,"Unjumble","Lorem",string,false,false
29d219ad-abc3-4cbc-8f60-d2b1d06efeff,matching-pair,"Matching Pair","Lorem",string,false,false
d97887a7-63bf-47ab-8531-38d3c44943fb,match-up,"Match Up","Lorem",string,false,false
83eef1fb-e8eb-4b57-b62a-d032d33ba3b6,flash-cards,"Flash Cards","Lorem",string,false,false
364db0b7-8116-46c1-8a86-f62ca7c1e9a4,find-the-match,"Find the Match","Lorem",string,false,true
04f5c7f1-fdd3-485b-b43f-478f4888ed68,group-sort,"Group Sort","Lorem",string,false,false
14add151-bda7-4473-bed5-552027c8ca1e,complete-the-sentence,"Complete the Sentence","Lorem",string,false,false
7a716582-a686-41fc-b3ef-48c3dd30b57b,speaking-cards,"Speaking Cards","Lorem",string,false,false
785e62e3-fc58-4cbd-9ffe-c0063c0c1207,word-search,"Word Search","Lorem",string,true,true
a67b668c-e95d-483e-8d4e-385b050f5646,gameshow-quiz,"Gameshow Quiz","Lorem",string,true,false
945328c2-a578-4a62-af7d-4ef93ee000e3,maze-chase,"Maze Chase","Lorem",string,false,true
87338387-b0cc-462e-9489-a0070f98c3a1,crossword,"Crossword","Lorem",string,false,false
a2678379-5c86-4f05-a10a-f37370732e1d,labelled-diagram,"Labelled Diagram","Lorem",string,false,false
ac8b43c2-1bee-4a3f-a9ad-b8aa6f8a8d10,true-or-false,"True or False","Lorem",string,true,false
374043f0-8c5c-4c0e-9985-cb8e2ef68936,hangman,"Hangman","Lorem",string,false,true
a947e0b8-f3f1-4c20-af14-63ac04c8ed8d,airplane,"Airplane","Lorem",string,false,true
9803ce6b-8d0c-47fe-8306-9411e3399665,whack-a-mole,"Whack-a-Mole","Lorem",string,true,false
9d13d300-fe45-4fa3-88d3-4f944e1a7f01,baloon-pop,"Baloon Pop","Lorem",string,true,false
b7efa7d0-fe73-4a5b-80d8-953cee5a39dc,image-quiz,"Image Quiz","Lorem",string,true,false
665a54ee-1920-4d00-a593-c79ee8b738fa,flip-tiles,"Flip Tiles","Lorem",string,false,false
ec1fdf17-7935-4da9-a346-7bfd887fb56c,rank-order,"Rank Order","Lorem",string,false,false
246e89e4-081e-4aae-b202-56c7a8c44e8f,win-or-lose-quiz,"Win or Lose Quiz","Lorem",string,false,false
6a7e3503-6faa-4d61-ab14-01b868fd1c70,watch-and-memorize,"Watch and Memorize","Lorem",string,true,false
2614daa4-efec-46b2-a95a-ee5651578465,word-magnet,"Word Magnet","Lorem",string,false,false
6dd614dc-bdcd-4cf9-a8d4-a98f497b39ec,flying-fruit,"Flying Fruit","Lorem",string,false,true
474d18da-c038-4ca6-b6b2-2c88fff6a006,math-generator,"Math Generator","Lorem",string,false,false
b8b126af-011f-49f8-8616-ec8ed9180e33,pair-or-no-pair,"pair or No Pair","Lorem",string,false,false
ba2f6e6a-ca73-472f-a227-69a6e861f754,speed-sorting,"Speed Sorting","Lorem",string,false,false
2bdeb39e-9041-4997-992b-eeeb82f03894,spell-the-word,"Spell the Word","Lorem",string,false,false
cc7634f2-ddd9-450e-a0c7-7e80c7cd206d,type-the-answer,"Type the Answer","Lorem",string,false,false
c3d8a6c3-0db2-4b01-ae77-31e8af182784,jeopardy,"Jeopardy","Lorem",string,false,false
06415ea7-d932-4b10-a285-f53201edf108,puzzle,"Puzzle","Lorem",string,false,false
9fdcf0f2-9b09-4cac-b648-b349c5c07388,sliding-puzzle,"Sliding Puzzle","Lorem",string,false,false
a600b3e5-c26e-4780-992f-22ba0d19e0a3,type-speed,"Type Speed","Lorem",string,true,false
